ABE ATL 0.00024323340363563323
ABE BHM 1.4265888776283474e-07
ABE CLE 0.00022968080929816392
ABE CLT 0.0001326727656194363
ABE CVG 7.061614944260319e-05
ABE DTW 0.00028446182219909246
ABE JFK 4.279766632885042e-07
ABE LGA 1.2839299898655126e-06
ABE LNK 1.4265888776283474e-07
ABE MKE 1.4265888776283474e-07
ABE ORD 0.0004067204890118418
ABE PHL 2.853177755256695e-07
ABI CMI 1.4265888776283474e-07
ABI DFW 0.0007589452828982808
ABQ AMA 0.0001047116236179207
ABQ ATL 0.0003040060898226008
ABQ AUS 0.00012382791457814056
ABQ BWI 0.00015621148210030403
ABQ CLE 3.4238133063080336e-06
ABQ COS 1.4265888776283474e-07
ABQ CVG 7.418262163667406e-05
ABQ DAL 0.00088220256192537
ABQ DEN 0.0012307182247299753
ABQ DFW 0.0008239977357181335
ABQ DRO 1.4265888776283474e-07
ABQ ELP 0.00022697029043067005
ABQ EWR 4.7505409625023964e-05
ABQ HOU 0.00029016817770960586
ABQ IAD 0.00010414098806686936
ABQ IAH 0.0006451034904635387
ABQ LAS 0.0006861892501392351
ABQ LAX 0.0006861892501392351
ABQ LBB 0.00010442630584239502
ABQ MAF 0.00010456896473015787
ABQ MCI 0.00019116290960219853
ABQ MCO 0.00020771134058268737
ABQ MDW 0.00020828197613373872
ABQ MSP 0.00019316013403087822
ABQ OAK 0.0002881709532809262
ABQ OKC 6.562308837090398e-05
ABQ OMA 1.4265888776283474e-07
ABQ ONT 0.00012682375122116007
ABQ ORD 0.00021470162608306628
ABQ PDX 0.00010442630584239502
ABQ PHX 0.0014977756626220018
ABQ SAN 0.0002978717576487989
ABQ SAT 0.00012126005459840952
ABQ SEA 0.00020385955061309085
ABQ SFO 0.00015107576214084197
ABQ SLC 0.0006562308837090398
ABQ SMF 0.00013295808339496197
ABQ STL 0.00010442630584239502
ABQ TPA 0.00010442630584239502
ABQ TUL 6.548042948314114e-05
ABQ TUS 0.00020500082171519352
ABY ATL 0.00031242296420060805
ACK BOS 1.4265888776283474e-07
ACK EWR 6.676435947300666e-05
ACK JFK 6.519511170761548e-05
ACT DFW 0.000568780985510422
ACV CEC 0.00010299971696476668
ACV MRY 2.853177755256695e-07
ACV SFO 0.0006676435947300665
ACV SJC 1.4265888776283474e-07
ACV SLC 0.00011084595579172258
ACV SMF 0.00017604106749933806
ACY ATL 3.224090863440065e-05
ACY JFK 1.4265888776283474e-07
ACY LGA 2.853177755256695e-07
ADK ANC 2.9102413103618286e-05
ADQ ANC 0.00020143434952112264
AEX ATL 0.00028032471445397025
AEX DFW 0.00028645904662777215
AEX IAH 9.757867922977895e-05
AGS ATL 0.0006791989646388562
AGS CLT 4.707743296173546e-06
AGS IAH 1.4265888776283474e-07
AGS LGA 1.997224428679686e-06
AKN ANC 2.7675824225989938e-05
AKN DLG 5.42103773498772e-06
ALB ATL 0.0003291140540688597
ALB BOS 1.4265888776283474e-07
ALB BWI 0.0006552322714946999
ALB CLE 0.00031656007194573026
ALB CLT 0.0002759022889333224
ALB CVG 0.00026049512905493624
ALB DCA 9.001775817834872e-05
ALB DTW 0.00028902690660750316
ALB EWR 0.00017547043194828674
ALB FLL 1.7119066531540168e-05
ALB JFK 0.00010428364695463219
ALB LAS 0.00010442630584239502
ALB MCO 0.00029630250988340776
ALB MDW 0.0002081393172459759
ALB MSP 1.626311320496316e-05
ALB ORD 0.0004653532918823669
ALB PHL 0.00012796502232326274
ALB SBN 1.4265888776283474e-07
ALB TPA 0.00011155925023053677
ALO MSP 9.215764149479124e-05
AMA DAL 0.0007609425073269605
AMA DEN 0.00020828197613373872
AMA DFW 0.0007285589398047969
AMA IAH 0.00023053676262474094
AMA LAS 0.00010456896473015787
AMA SAT 1.4265888776283474e-07
AMA TUL 1.4265888776283474e-07
ANC ATL 3.281154418545199e-05
ANC BET 0.0002953038976690679
ANC BRW 5.192783514567184e-05
ANC CDV 0.00010342769362805518
ANC CVG 2.5678599797310252e-05
ANC DEN 0.00012867831676207693
ANC DFW 4.365361965542743e-05
ANC DLG 2.7675824225989938e-05
ANC DTW 2.739050645046427e-05
ANC FAI 0.0008659394487204069
ANC HNL 6.7334995024058e-05
ANC IAH 5.891812064605075e-05
ANC JNU 0.0003318245729363536
ANC LAS 6.77629716873465e-05
ANC LAX 6.804828946287217e-05
ANC MSP 0.000235672482584203
ANC OGG 7.703579939193076e-06
ANC OME 0.0001560688232125412
ANC ORD 0.00016006327206990057
ANC OTZ 0.00015492755211043852
ANC PDX 0.00016434303870278561
ANC PHX 0.00010442630584239502
ANC SCC 0.00010357035251581802
ANC SEA 0.001785090662576351
ANC SFO 5.178517625790901e-05
ANC SLC 0.00013638189670127
ASE ATL 4.565084408410712e-06
ASE DEN 0.0011371339943575557
ASE GJT 4.279766632885042e-07
ASE LAX 9.386954814794525e-05
ASE MSN 1.4265888776283474e-07
ASE ORD 9.15870059437399e-05
ASE PHX 3.109963753229797e-05
ASE RFD 1.4265888776283474e-07
ASE SFO 1.7261725419303003e-05
ASE SLC 0.00012867831676207693
ASE TUL 1.4265888776283474e-07
ATL ATW 0.00021184844832780958
ATL AUS 0.0006429636071470961
ATL AVL 0.0005523752134176961
ATL AVP 0.00016691089868251663
ATL BDL 0.0006107226985126955
ATL BGR 7.703579939193075e-05
ATL BHM 0.0008198606279730112
ATL BMI 0.0007161476165694304
ATL BNA 0.0008834864919152355
ATL BOI 1.1698028796552449e-05
ATL BOS 0.0017079122042966575
ATL BQK 0.0002637762834734814
ATL BTR 0.0007600865540003834
